#Parameters = {Conductivity=2000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"S1,1 (4) [Magnitude / dB]"
#---------------------------------------------
1.3035000562668	-7.8241430509690
1.3054900169373	-7.8372678046605
1.3074799776077	-7.8505087949214
1.3094700574875	-7.8638573153142
1.3114600181580	-7.8773109090400
1.3134499788284	-7.8908618705569
1.3154400587082	-7.9045091756896
1.3174300193787	-7.9182456471863
1.3194199800491	-7.9320663326732
1.3214099407196	-7.9459679381831
1.3234000205994	-7.9599462007456
1.3253899812698	-7.9739944637692
1.3273799419403	-7.9881099305423
1.3293700218201	-8.0022866797777
1.3313599824905	-8.0165243323210
1.3333499431610	-8.0308146557007
1.3353400230408	-8.0451545942877
1.3373299837112	-8.0595417536558
1.3393199443817	-8.0739691082104
1.3413100242615	-8.0884346795641
1.3432999849319	-8.1029353272495
1.3452899456024	-8.1174638257042
1.3472800254822	-8.1320183352820
1.3492699861526	-8.1465958820118
1.3512599468231	-8.1611882999383
1.3532500267029	-8.1757955419074
1.3552399873734	-8.1904106539000
1.3572299480438	-8.2050336393015
1.3592200279236	-8.2196545408586
1.3612099885941	-8.2342736913280
1.3631999492645	-8.2488829778219
1.3651900291443	-8.2634795143957
1.3671799898148	-8.2780591259788
1.3691699504852	-8.2926182766230
1.3711600303650	-8.3071488513217
1.3731499910355	-8.3216495930641
1.3751399517059	-8.3361118848942
1.3771300315857	-8.3505317688458
1.3791199922562	-8.3649054695756
1.3811099529266	-8.3792269396928
1.3831000328064	-8.3934878570276
1.3850899934769	-8.4076864956200
1.3870799541473	-8.4218157722347
1.3890700340271	-8.4358680704756
1.3910599946976	-8.4498380439740
1.3930499553680	-8.4637209467956
1.3950400352478	-8.4775091307065
1.3970299959183	-8.4911941873378
1.3990199565887	-8.5047726211705
1.4010100364685	-8.5182367369781
1.4029999971390	-8.5315804228646
1.4049899578094	-8.5447935922885
1.4069800376892	-8.5578715646693
1.4089699983597	-8.5708078345699
1.4109599590302	-8.5835931186884
1.4129500389099	-8.5962225036091
1.4149399995804	-8.6086846131030
1.4169299602509	-8.6209749176169
1.4189200401306	-8.6330865669190
1.4209100008011	-8.6450090591260
1.4228999614716	-8.6567373680348
1.4248900413513	-8.6682620465109
1.4268800020218	-8.6795775785893
1.4288699626923	-8.6906745838978
1.4308600425720	-8.7015462617553
1.4328500032425	-8.7121836848918
1.4348399639130	-8.7225816290186
1.4368300437927	-8.7327309113271
1.4388200044632	-8.7426261120342
1.4408099651337	-8.7522572123402
1.4428000450134	-8.7616200136231
1.4447900056839	-8.7707034142208
1.4467799663544	-8.7795068223493
1.4487700462341	-8.7880170412060
1.4507600069046	-8.7962312018680
1.4527499675751	-8.8041421749721
1.4547400474548	-8.8117435796190
1.4567300081253	-8.8190297577694
1.4587199687958	-8.8259944523057
1.4607100486755	-8.8326319508642
1.4627000093460	-8.8389375929252
1.4646899700165	-8.8449031629600
1.4666800498962	-8.8505274772808
1.4686700105667	-8.8558052507250
1.4706599712372	-8.8607304709287
1.4726500511169	-8.8653012872161
1.4746400117874	-8.8695109482336
1.4766299724579	-8.8733554603675
1.4786200523376	-8.8768354422585
1.4806100130081	-8.8799433069965
1.4825999736786	-8.8826798201612
1.4845900535583	-8.8850401570396
1.4865800142288	-8.8870228445126
1.4885699748993	-8.8886242618784
1.4905600547791	-8.8898434144649
1.4925500154495	-8.8906801861013
1.4945399761200	-8.8911319289783
1.4965300559998	-8.8911981328382
1.4985200166702	-8.8908783464746
1.5005099773407	-8.8901701568516
1.5025000572205	-8.8890746784777
1.5044900178909	-8.8875933305348
1.5064799785614	-8.8857251347024
1.5084700584412	-8.8834690854989
1.5104600191116	-8.8808276291332
1.5124499797821	-8.8777992969463
1.5144399404526	-8.8743884855198
1.5164300203323	-8.8705962947565
1.5184199810028	-8.8664220973512
1.5204099416733	-8.8618685502251
1.5224000215530	-8.8569377731604
1.5243899822235	-8.8516331614119
1.5263799428940	-8.8459553963927
1.5283700227737	-8.8399094189652
1.5303599834442	-8.8334946426584
1.5323499441147	-8.8267147350288
1.5343400239944	-8.8195752419476
1.5363299846649	-8.8120775385066
1.5383199453354	-8.8042253053670
1.5403100252151	-8.7960244152307
1.5422999858856	-8.7874734553985
1.5442899465561	-8.7785827685866
1.5462800264359	-8.7693516456652
1.5482699871063	-8.7597859046640
1.5502599477768	-8.7498925292941
1.5522500276566	-8.7396728017245
1.5542399883270	-8.7291299503430
1.5562299489975	-8.7182756480495
1.5582200288773	-8.7071072349401
1.5602099895477	-8.6956352665220
1.5621999502182	-8.6838637363062
1.5641900300980	-8.6717975145892
